name,latitude,longitude
Eaze,33.99266,-118.4637
American Eagle Collective,34.141769,-118.221107
Weed Way,34.248081,-118.284415
LA Cannabis Co - Los Angeles,34.0187479,-118.3193331
Sixty Four & Hope,34.04009,-118.37681
Los Angeles Variety Cannabis,34.06290775599239,-118.36267792331336
Caliva Delivery,34.0656,-118.34984
Angel’s Kush Cannabis Delivery,34.063149,-118.298583
Kanep CBD,34.090558,-118.369396
420Bird,34.0522342,-118.2436849
Westside Botanicals,33.998695,-118.4285243
Cookies Melrose,34.0834138,-118.3725351
Herbal Remedies Caregivers,34.295407,-118.41234
Originals Factory & Weed Shop,33.981015,-118.26258
Elevate Medical & Recreational Weed Dispensary LA,34.071757,-118.364469
Super Supreme Dispensary ,34.076275393014626,-118.2982043
Majic Meows,34.11178123559592,-118.2600179803579
Pacific Organic,34.14918,-118.4106
The Circle,33.78905,-118.13945
Bonafide Cannabis Dispensary,33.980554,-118.172571
Field Of Dreams,34.05025,-118.43777
Best of Buddha Whittier,33.97241,-118.07091
MMD Marina Del Rey,33.992108,-118.443668
DTPG by The Cure Company,34.02654,-118.23878
The Hotbox In Hawthorne,33.90708,-118.36157
High Flyers CA,33.81018494248331,-118.1167669594288
Catalyst Cannabis - Cherry,33.8150537,-118.16664434
Haven Dispensary - Maywood,33.988258,-118.194824
Compassion Union,34.0707703,-118.3756409
OG Central,33.97732,-118.25609
Curb Delivery,34.02945,-118.35494
REUP LA by Exclusive,33.983,-118.31457
Starbuds,34.07680017,-118.25853267
California Cannabis Soto,34.02084,-118.22057
Green Village,34.03204,-118.3842
Uplyft LA,34.0448,-118.432205
Jamie's Weed Delivery,34.0297377,-118.4506077
Caña Sylmar,34.31007833,-118.42798667
Shivas Dtla,34.03674683523544,-118.26315091154832
Libra - Hollywood,34.09775877422971,-118.2859993
Cannabis Releaf,34.1220545051384,-118.293589241803
Alhambra Green Stop 20 Cap,34.079188,-118.1635808
CanEx,34.09434,-118.38268
The Clinik,34.232374,-118.579252
Sweet Flower - Culver City,34.02023211914838,-118.39718112787678
Med City,34.101696238624456,-118.31494009560278
PAC LA,34.159231,-118.370868
Coastal,34.03725,-118.43257
Universal Cannabis DTLA,34.0177205,-118.2438
LA Cannabis Co - La Brea,34.04546,-118.34576
KannaLuv,34.22791,-118.48494
Cannabis Corner 30 Cap,34.0546295,-118.32235883
Spliffee,34.06767654418945,-118.34990692138672
High Life Group,33.98622,-118.27864
BeKind Meds,34.09821,-118.35239
Royal Greens LA,34.041147,-118.350309
ASAP Budz,34.22766,-118.44616
The Cannabis Method,34.03313,-118.43872
The Pottery,34.03348,-118.47366
Coast to Coast - Los Angeles,34.04014,-118.23809
K-town Kush 20 Cap,34.069264,-118.30204
Par 3 Medical,34.038022,-118.376966
The Plug LA,34.025786,-118.241659
Green Breeze,34.0701623877209,-118.34986731981768
Cookies Los Angeles,33.98988434631325,-118.20391427721096
The House Of Ounces,34.03864,-118.26136
Kushy Delivery,34.0029134,-118.4156558
High Times Delivery,34.0446,-118.24058
The Artist Tree Studio Dispensary Lounge,34.08796,-118.37997
KushCab Delivery,34.04901,-118.28623
Kush Slingerz,33.993012,-118.316626
Roots Los Angeles,34.201511,-118.372012
HiGH inventory,34.1522560119629,-118.444999694824
Kush Mobile,34.0646896362305,-118.382843017578
Canna Galleria,34.15647,-118.36977
Lyt,34.044761657714844,-118.2527084350586
Euphoros,34.07359246413328,-118.2105347
Stupid Kill Delivery Service,33.970739417032995,-118.17084311298188
Budega - North Hollywood,34.1619801545415,-118.3730929064122
VIP Collective LA,33.96506,-118.30933
Varda,34.146598,-118.082255
Long Beach Wellness Center,33.8101,-118.11693
Lab Rats Mobile Service,34.0597915649414,-118.310844421387
Pot Shop 25 Cap,34.0713001,-118.3092549
OG Xpress 15 Cap,33.89633,-118.3271
BudzDeli,34.041132696534135,-118.35032749952796
Alhambra Collective 20 Cap,34.09289,-118.16245
Mai Collective,34.0401396,-118.3082272
Backpackboyz,34.04454269241089,-118.3525770511684
The Dub Club,34.18618,-118.44915
Los Angeles Green Street,34.03758017,-118.25752517
Marijuana Delivery Service,34.04625,-118.25287
Giving Greens Delivery,33.9740867614746,-118.24983215332
iLyfted Noho,34.194126,-118.386762
Hall of Flame 25 Cap,34.08364,-118.3149
Liil Plug,34.16829,-118.60055
Honor Roll Delivery - Culver City,34.018788744375385,-118.39181785297608
Venice Buds Delivery,34.0115377,-118.4200343
The Marijuana Factory,34.23730001156953,-118.5965067673676
HerbNJoy - Beverly Hills,34.06147,-118.38338
Good Tree,33.76673,-118.1924
Downtown Buyers Club,34.023582,-118.2446988
The 710 Club,33.88187,-118.29112
420Weedkeef,34.03106264303138,-118.4901016422391
Nug Depot 25 Cap,33.97512,-118.32622
MedEX,34.02697,-118.20962
Vernon Clinic,34.00423,-118.240348
Dr. Greenthumb's,33.97672929508536,-118.37639775127172
Green State University 20 cap,34.02541333,-118.27089833
Smoke LA,34.16858811943186,-118.37253708079018
Crown Genetics Delivery,34.1477165222168,-118.467269897461
Pacific Wellness Delivery,34.154873974144046,-118.4702969
Strainzzz On Slauson,33.98909,-118.25128
Vybes,34.08879,-118.37803
Deals on Wheels Delivery,33.83156,-118.27958
CanEx - Los Angeles,34.00566,-118.25849
ZAZA LA 20 Cap,34.045,-118.277
Lemonnade - Weho,34.08363,-118.36439
Exotix,34.08464,-118.33839
24 7 Marijuana Delivery,34.0616751,-118.2872401
Korner Town,34.04741,-118.28745
The Private Reserve Delivery,34.06048,-118.2425
Top Shelf LA,34.0003621,-118.29137610676266
Hemp CBD wellness Center,34.06241,-118.2365
American Cannabis Company,33.98814,-118.47461
West Coast Clones,33.8439445495605,-117.941757202148
Happy Green,34.05844,-118.29146
Highland Delivery,34.1283474703859,-118.3282876939554
HMF CULTURE,34.08386,-118.213759
Citadel Church of Crenshaw 15 Cap,33.896243,-118.327097
High Tide,33.916946819460584,-118.4020621506797
Treehouse,34.1757011413574,-118.848091125488
Lights Out 20 Cap,33.88146,-118.29064
The High Note LAX,33.959185949739364,-118.38031
Blue Dream Dispensary,34.076455,-118.2986595
831 Organiks,34.0489812,-118.2589574
Super Buds 20 Cap,33.992939,-118.323205
Ganja Gardens 20 Cap,34.0486,-118.35547
SFV Delivers,34.25344,-118.60081
Harvest Moon Dispensables,34.0464706420898,-118.433952331543
Garden of Wellness,34.05097883,-118.34462117
Splitbud,34.10665,-118.3651
Cannabis Kush Dispensary,34.0647,-118.30891
Hey High,34.02004,-118.39439
Widz ktown,34.066467,-118.309438
Rocket Buds 25 Cap,34.033204,-118.308128
Mind Kontrol Delivery Service,34.0426712036133,-118.250885009766
Green Lion Cannabis Delivery,34.00375660970046,-118.30875141605377
OG Kush Dispensary,34.07644,-118.29853
Green Gears 20 Cap,33.93739117,-118.29225083
Broadway LA Dispensary 25 Cap,33.95166,-118.27783
Grub Kush Delivery,34.120189666748,-118.287124633789
University Buds 20 Cap,34.01927,-118.2733
CanEx - North Hollywood,34.1698188781738,-118.37899017334
OG Western,33.96242,-118.30933
The Plug 20 Cap Collective,33.9743,-118.3168
Highspot Dispensary,33.96258317253286,-118.35169676151808
The Pottery Delivery,34.1110495,-118.2872851
CanEx - Santa Monica,34.0300788879395,-118.50919342041
Infinite Wellness 20 Cap,33.996848,-118.278527
Bee Calm The CBD Gallery,34.1001586914062,-118.331047058105
High Maintenance LA,34.03732,-118.26116
420 Nature Aid,33.9700012207031,-118.376281738281
Ganjapot Cannabis Dispensary,34.0446,-118.25444
Nug Avenue,34.13348,-117.90446
Weed4You,34.04800612367769,-118.29418117933304
Go Wonderland,34.03435,-118.26415
Green Mile,34.156063079834,-118.343688964844
Mendo Bros,34.04533,-118.24456
The Green Paradise,34.05458,-118.34398
Green Goat Collective,34.011963,-118.277347
Sunsets Cafe - Kentucky,38.254578,-85.758328
CHC 7G 8th,34.01766,-118.24386
Bud Cellar,34.16495,-118.37203
Five Star Collective,33.9455849,-118.316414
The Syndicate - Huntington Park,33.98865,-118.23307
Nji Weed Shop,34.02112,-118.372669
Rick 420,34.0647058,-118.30891
Bake’d Smoke Shop,34.03928,-118.26446
Harris OG,34.09988893034104,-118.32691729527804
UHCC,33.987277696587626,-118.23792936137887
The Happy House,34.051928,-118.383916
Crenshaw Caregivers,33.98885,-118.33387
The CannaDolls,34.16201,-118.36995
High Society Wellness Center 20 Cap,34.05677,-118.20831
Puff Los Angeles,34.04953377122447,-118.21503001339514
OG Kush Cannabis Delivery,34.04656,-118.25925
Dank Stop,34.01543900000151,-118.15853947055122
Blowing Trees,34.0286,-118.20085
Jack Canna,34.02415,-118.2387483
Stash Dash,34.1766395568848,-118.461837768555
CanEx - Venice Beach,33.9875411987305,-118.472152709961
Blvck Label Cannabis,34.0486745,-118.3338165
Spectwonders,33.90323,-118.202912
Presidential Collective,33.965053,-118.309222
QURE Cannabis Delivery,34.19928,-118.33994
Purecannastore,34.03363167,-118.184355
CanEx - Burbank,34.1615135,-118.3403506
Shatter Wax Sale,34.06104,-118.41402
Erba,33.98699,-118.44427
Vitality Biopharma,34.0595626831055,-118.41771697998
Project Cannabis,34.14028,-118.383805
Catalyst - Florence,33.9744483,-118.2789621
Flora's Remedy Delivery,34.0643501281738,-118.437088012695
Real Monster Delivery,34.0672647049,-118.000235195
Sweet Stiizy bud,34.05262,-118.23237
Kandy Kush 20 Cap,33.9602849,-118.2429021
Eaze,34.1773,-118.30961
Premier CBD Oil,34.14687,-118.42629
Slauson Re-Up 20 Cap,33.98866,-118.3416
Dianamaam,34.021143,-118.372693
Mjplug4,34.0522384643555,-118.243347167969
The Gas Station,34.19677,-118.4924
Gassed Up,33.973712,-118.225539
Sticky Fingerz Dispensary ,34.04467,-118.26617
Zaza Kush Dispensary,34.07654099241517,-118.2982978592677
Tetra Cannabis shop,34.07492,-118.25268
Nursery's Best MMJ Delivery,33.96159,-118.16139
Milla Weed House,34.02112,-118.372669
Lawrence kushshop,33.98132,-118.247421
710 Frat House,33.96298,-118.26923
Vibez On Vermont 20 Cap,33.97999,-118.29198
Weed Mall Dispensary,34.088101997984104,-118.3794525
Buddha Company,34.03042,-118.23081
Sweet Nugs Dispensary,34.03204,-118.3842
The Cure Company,34.034867,-118.223653
Los Angeles County Caregivers Alliance,33.989093,-118.251281
EZ Custom Packaging,34.0469234,-118.2441952
Cannabis Delivery Service,34.16068412589686,-118.21351654511416
Marijuana Legal Shop,33.990564,-118.46644
CEAS LA,34.0943412780762,-118.381484985352
OCBUDZZ,33.835347,-117.959282
Secret Remedy Whittier,33.98148,-118.05405
Fast Buds Organic,34.0925944578959,-118.375811828533
Cannacureshop,34.083442,-118.350931
Khonsu's Collective,34.1015586853027,-118.33708190918
Exotic Strain Dispensary,34.0880529,-118.379351
Stiiizy Weed Delivery - Burbank,34.17683471928894,-118.30925915915697
Rolling Up Delivery Services,34.07192,-118.01323
Reefer Madness Clone Company,33.8335800170898,-117.847023010254
Dyrect Delivery,33.92441940307617,-118.20287322998048
Intercoast Clones,33.8085,-117.99526
562 Go Green,34.02101,-117.89977
Level Up 25 Cap,33.98868,-118.33869
The Blue Diamond Center,34.15516,-118.34302
Go Green,33.86843,-118.08206
Cali Clones,33.9433988165,-118.096607755
People's - Los Angeles,34.0374032246991,-118.25839635276115
Nug Runner,33.8758201599121,-117.993919372559
Green Road Wellness,33.811939239502,-117.846351623535
Weed-X Dispatch,34.0740242004395,-117.70011138916
