0.657595,0.021983,0.003535,0.004658
0.479599,0.158174,0.772075,0.132884
0.327095,0.760391,0.871975,0.902982
0.046812,0.480204,0.571883,0.905538
0.136449,0.517483,0.525208,0.93368
0.131703,0.152886,0.029462,0.524943
0.241642,0.448036,0.077165,0.180902
0.439503,0.229905,0.855774,0.562683
0.094876,0.905828,0.958782,0.699638
0.857434,0.994437,0.753513,0.101503
0.355285,0.694334,0.259117,0.514784
0.834028,0.183837,0.354158,0.840683
0.088237,0.93871,0.227991,0.134236
0.200339,0.635586,0.830071,0.359183
0.527757,0.712404,0.700919,0.883685
0.996544,0.166952,0.824159,0.96725
0.613212,0.003458,0.355228,0.586307
0.728794,0.95159,0.308217,0.696441
0.779165,0.094917,0.456354,0.449442
0.984808,0.660041,0.240352,0.441696
